id,name,brand,model,price_inr,price_segment,cpu,cpu_generation,ram_gb,ram_upgradeable,storage,storage_upgradeable,gpu,gpu_type,screen_size,screen_resolution,display_type,refresh_rate,battery_wh,estimated_battery_score,weight_kg,estimated_portability_score,gaming_score,future_proof_score,ai_ml_score,coding_score,mba_score,marketing_score,design_score,mechanical_score,civil_score,electronics_score,best_for,pros,cons,india_availability,purchase_links,last_verified_date,major_fit,community_sentiment
22,ASUS Zenbook 14 OLED (UX3405) Lunar,ASUS,Zenbook 14 OLED (UX3405) Lunar,124990,Premium,Intel Core Ultra 7 258V,Core Ultra Series 2,16,false,1 TB SSD,true,Intel Arc 140V,Integrated,14.0,1920x1200 FHD+,OLED,60,75,10.0,1.2,9.1,4.6,7.4,4.4,8.3,9.4,9.4,7.5,6.0,6.5,6.7,"MBA & business, marketing & media, programming & development",Lunar Lake battery champ; light; OLED,Soldered RAM; 60Hz panel; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+Zenbook+14+OLED+Lunar+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+Zenbook+14+OLED+Lunar+laptop,2026-06-15,Computer Science; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
23,ASUS TUF Gaming F16 (FX608) RTX5060,ASUS,TUF Gaming F16 (FX608) RTX5060,129990,Premium,Intel Core i7-14650HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,16.0,1920x1200 WUXGA,IPS,165,90,5.6,2.2,4.6,8.1,8.1,7.7,7.2,4.7,6.1,7.4,7.6,8.0,7.7,"gaming, civil engineering (AutoCAD), AI/ML & deep learning",RTX 5060 sweet spot; strong CPU,Heavy; FHD+ only; battery life,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+TUF+Gaming+F16+RTX5060+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+TUF+Gaming+F16+RTX5060+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
24,ASUS Zenbook 14 OLED (UX3407),ASUS,Zenbook 14 OLED (UX3407),134990,Premium,Intel Core Ultra 7 258V,Core Ultra Series 2,32,false,1 TB SSD,true,Intel Arc 140V,Integrated,14.0,2880x1800 2.8K,OLED,120,72,9.3,1.2,8.8,4.8,8.2,5.0,8.9,9.1,9.4,7.8,6.0,6.9,7.8,"marketing & media, MBA & business, programming & development",Lunar Lake efficiency; 32GB; class-leading battery,Soldered RAM; premium price,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+Zenbook+14+OLED+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+Zenbook+14+OLED+laptop,2026-06-15,Computer Science; Electronics; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
25,ASUS TUF Gaming A14 (FA401),ASUS,TUF Gaming A14 (FA401),149990,Premium,AMD Ryzen AI 7 350,Ryzen AI 300,16,false,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,14.0,2560x1600 WQXGA,IPS,165,73,4.0,1.46,5.9,7.9,8.2,7.7,6.8,5.4,6.3,7.7,7.6,8.0,7.6,"civil engineering (AutoCAD), gaming, AI/ML & deep learning",Compact gaming; QHD 165Hz; portable,Soldered RAM; runs warm; pricey,Available,Amazon: https://www.amazon.in/s?k=ASUS+TUF+Gaming+A14+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+TUF+Gaming+A14+laptop,2026-06-15,AI/ML; Mechanical; Civil; Electronics; Design,Excellent
26,ASUS ROG Strix G16 (G614) RTX5060,ASUS,ROG Strix G16 (G614) RTX5060,149990,Premium,Intel Core i7-14650HX,14th Gen,16,true,1 TB SSD,true,NVIDIA GeForce RTX 5060,Dedicated,16.0,2560x1600 WQXGA,IPS,165,90,5.6,2.5,3.9,8.1,8.1,7.7,7.2,4.4,6.2,7.7,7.6,8.0,7.7,"gaming, civil engineering (AutoCAD), AI/ML & deep learning",QHD 165Hz; powerful; upgradeable,Heavy; gamer aesthetic; battery,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+ROG+Strix+G16+RTX5060+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ROG+Strix+G16+RTX5060+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
27,ASUS Zenbook S16 (UM5606),ASUS,Zenbook S16 (UM5606),154990,Premium,AMD Ryzen AI 9 365,Ryzen AI 300,32,false,1 TB SSD,true,AMD Radeon 880M,Integrated,16.0,2880x1800 2.8K,OLED,120,78,8.6,1.5,7.6,4.8,8.2,5.2,8.9,8.4,8.8,7.7,6.0,7.2,8.0,"programming & development, marketing & media, MBA & business",Big OLED; powerful NPU; 32GB,Pricey; no dGPU,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+Zenbook+S16+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+Zenbook+S16+laptop,2026-06-15,Computer Science; Civil; Electronics; MBA; Marketing; Design; Medical; Finance; Humanities,Excellent
28,ASUS ROG Zephyrus G14 (GA403),ASUS,ROG Zephyrus G14 (GA403),184990,Premium,AMD Ryzen AI 9 HX 370,Ryzen AI 300,32,false,1 TB SSD,true,NVIDIA GeForce RTX 4070,Dedicated,14.0,2880x1800 2.8K,OLED,120,73,4.0,1.5,5.9,7.8,8.4,8.5,7.8,5.4,7.0,9.2,8.9,8.9,9.1,"design & creative work, electronics & simulation, mechanical engineering (CAD/CAE)",Compact powerhouse; OLED; CUDA; portable,Soldered RAM; thermal limits; pricey,Available,Amazon: https://www.amazon.in/s?k=ASUS+ROG+Zephyrus+G14+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ROG+Zephyrus+G14+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Marketing; Design,Excellent
29,ASUS Zenbook Duo (UX8406),ASUS,Zenbook Duo (UX8406),184990,Premium,Intel Core Ultra 9 185H,Core Ultra Series 1,32,false,1 TB SSD,true,Intel Arc Graphics,Integrated,14.0,2880x1800 2.8K,OLED,120,75,9.3,1.65,7.2,4.8,5.9,5.3,9.2,8.5,8.9,7.6,6.0,7.3,8.1,"programming & development, marketing & media, MBA & business",Dual OLED screens; 32GB; unique workflow,Heavy for class; no dGPU; pricey,Widely Available,Amazon: https://www.amazon.in/s?k=ASUS+Zenbook+Duo+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+Zenbook+Duo+laptop,2026-06-15,Computer Science; Civil; Electronics; MBA; Marketing; Design; Medical; Finance; Humanities,Good
30,ASUS ROG Strix G16 (G614) RTX5070,ASUS,ROG Strix G16 (G614) RTX5070,219990,Premium,Intel Core Ultra 9 275HX,Core Ultra Series 2,32,true,1 TB SSD,true,NVIDIA GeForce RTX 5070,Dedicated,16.0,2560x1600 WQXGA,IPS,240,90,5.6,2.5,3.9,8.8,9.3,8.5,8.3,5.0,6.2,8.0,9.1,9.1,9.2,"electronics & simulation, mechanical engineering (CAD/CAE), civil engineering (AutoCAD)",Top-tier CPU; RTX 5070; 240Hz QHD,Heavy; expensive; thermals demand cooling,Available,Amazon: https://www.amazon.in/s?k=ASUS+ROG+Strix+G16+RTX5070+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ROG+Strix+G16+RTX5070+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Excellent
31,ASUS ProArt P16 (H7606),ASUS,ProArt P16 (H7606),259990,Premium,AMD Ryzen AI 9 HX 370,Ryzen AI 300,32,false,1 TB SSD,true,NVIDIA GeForce RTX 4070,Dedicated,16.0,3840x2400 4K,OLED,60,90,5.6,1.85,5.2,7.1,8.4,8.5,8.2,6.5,7.2,9.2,8.9,8.9,9.1,"design & creative work, electronics & simulation, mechanical engineering (CAD/CAE)",Creator-grade 4K OLED; RTX 4070; color-accurate,Soldered RAM; expensive; 60Hz,Available,Amazon: https://www.amazon.in/s?k=ASUS+ProArt+P16+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ProArt+P16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Marketing; Design; Finance,Excellent
32,ASUS ROG Zephyrus G16 (GU605),ASUS,ROG Zephyrus G16 (GU605),289990,Premium,Intel Core Ultra 9 285HX,Core Ultra Series 2,32,false,1 TB SSD,true,NVIDIA GeForce RTX 5070 Ti,Dedicated,16.0,2560x1600 WQXGA,OLED,240,90,5.6,1.95,5.2,9.0,8.9,9.3,8.3,5.4,7.2,9.4,9.3,9.3,9.2,"design & creative work, AI/ML & deep learning, mechanical engineering (CAD/CAE)",Slim flagship; OLED 240Hz; RTX 5070 Ti,Soldered RAM; very expensive,Available,Amazon: https://www.amazon.in/s?k=ASUS+ROG+Zephyrus+G16+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ROG+Zephyrus+G16+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Marketing; Design,Excellent
33,ASUS ROG Strix Scar 16 (G635) RTX5080,ASUS,ROG Strix Scar 16 (G635) RTX5080,339990,Premium,Intel Core Ultra 9 275HX,Core Ultra Series 2,32,true,1 TB SSD,true,NVIDIA GeForce RTX 5080,Dedicated,16.0,2560x1600 QHD+,OLED,240,90,5.6,2.65,3.3,9.4,9.3,9.5,8.3,4.7,6.7,9.6,9.5,9.4,9.2,"design & creative work, AI/ML & deep learning, mechanical engineering (CAD/CAE)",Flagship RTX5080; 240Hz OLED; top CPU,Very expensive; heavy; loud fans,Available,Amazon: https://www.amazon.in/s?k=ASUS+ROG+Strix+Scar+16+RTX5080+laptop | Flipkart: https://www.flipkart.com/search?q=ASUS+ROG+Strix+Scar+16+RTX5080+laptop,2026-06-15,AI/ML; Computer Science; Mechanical; Civil; Electronics; Design,Good
34,Acer Aspire Go 15,Acer,Aspire Go 15,30990,Budget,Intel Core i3-N305,Alder Lake-N,8,false,512 GB SSD,true,Intel UHD Graphics,Integrated,15.6,1920x1080 FHD,IPS,60,40,4.8,1.7,5.6,3.2,4.8,2.8,4.6,5.6,6.0,5.4,3.1,3.4,3.4,"everyday use, browsing & office work",Ultra-cheap; FHD; fine for basics,Weak N-series CPU; soldered RAM,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+Go+15+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+Go+15+laptop,2026-06-15,Humanities,Poor
35,Acer Aspire Lite (Ryzen 3),Acer,Aspire Lite (Ryzen 3),30990,Budget,AMD Ryzen 3 7320U,Ryzen 7020,8,false,256 GB SSD,true,AMD Radeon 610M,Integrated,15.6,1920x1080 FHD,IPS,60,40,5.6,1.59,6.5,3.4,4.8,2.9,4.9,6.1,6.5,5.5,3.4,3.8,3.7,marketing & media,Lowest entry price; FHD IPS,Soldered RAM; 256GB only; weak CPU,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+Lite+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+Lite+laptop,2026-06-15,Humanities,Poor
36,Acer Aspire 3 (A315),Acer,Aspire 3 (A315),31990,Budget,Intel Core i3-1305U,13th Gen,8,true,512 GB SSD,true,Intel UHD Graphics,Integrated,15.6,1920x1080 FHD,IPS,60,40,5.6,1.7,5.9,3.2,5.2,2.9,4.9,5.9,6.3,5.4,3.3,3.7,3.7,"everyday use, browsing & office work",Cheapest decent FHD; upgradeable; Office bundle,Entry CPU; 8GB to start; plain,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+3+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+3+laptop,2026-06-15,Humanities,Poor
37,Acer Aspire 3 (Ryzen 5),Acer,Aspire 3 (Ryzen 5),36990,Budget,AMD Ryzen 5 7430U,Ryzen 7030,8,true,512 GB SSD,true,AMD Radeon Graphics,Integrated,15.6,1920x1080 FHD,IPS,60,40,5.6,1.7,5.9,3.6,4.7,3.2,5.2,5.9,6.3,5.6,3.9,4.5,4.2,"everyday use, browsing & office work",Affordable; upgradeable; Office bundle,8GB to start; basic build,Widely Available,Amazon: https://www.amazon.in/s?k=Acer+Aspire+3+laptop | Flipkart: https://www.flipkart.com/search?q=Acer+Aspire+3+laptop,2026-06-15,Humanities,Poor
